h,k,l,fast_px,slow_px,eps,two_theta_deg,intensity
1,0,-1,583.4858113664422,438.5132188341342,-0.049155407888219926,9.69570121542631,4077.8839424704624
1,0,1,583.4858113664422,584.4867811658659,-0.049155407888219926,9.69570121542631,4077.8839424704624
-1,-2,-5,391.4322601979491,55.447546968442964,-0.02011074900258869,38.16694268353238,2765.153796664673
-1,-2,5,391.4322601979491,967.552453031557,-0.02011074900258869,38.16694268353238,2765.153796664673
5,-1,2,946.5084126287396,694.0319743519151,-0.024402985318889847,38.17633598466438,2604.629569778151
5,-1,-2,946.5084126287396,328.96802564808485,-0.024402985318889847,38.17633598466438,2604.6295697781484
2,0,0,658.4213862986238,511.5,-0.0985829921082999,13.75921851022975,1962.699110116464
2,0,-1,658.4213862986238,437.0178286747616,-0.03428491131984934,15.351608266593434,1941.3633129653242
2,0,1,658.4213862986238,585.9821713252384,-0.03428491131984934,15.351608266593434,1941.3633129653242
0,-1,-4,498.1167284336196,187.15063433449086,0.029220113932383995,28.41526126151461,1373.7459846321506
0,-1,4,498.1167284336196,835.8493656655091,0.029220113932383995,28.41526126151461,1373.7459846321506
3,0,0,736.4918259960003,511.5,0.04429484290575125,20.555360890044053,1278.4499759965122
0,0,-1,511.5,439.94974446337307,0.06359689176955818,6.800431897017029,1019.9383351613427
0,0,1,511.5,583.0502555366269,0.06359689176955818,6.800431897017029,1019.9383351613427
3,-1,-4,754.2891242685903,163.88982765590424,0.07337193109667339,35.24782971831799,646.4703011456443
3,-1,4,754.2891242685903,859.1101723440958,0.07337193109667339,35.24782971831799,646.4703011456443
1,-1,-4,579.6112581811361,179.75081869221344,-0.08396807877416101,29.4424798862111,480.5341931145431
1,-1,4,579.6112581811361,843.2491813077866,-0.08396807877416101,29.4424798862111,480.5341931145431
-4,-2,-1,148.8502580478725,426.67436587939125,-0.06472572469347249,31.82913003420322,428.7926511877829
-4,-2,1,148.8502580478725,596.3256341206088,-0.06472572469347249,31.82913003420322,428.7926511877829
2,-1,-4,664.9110906712594,172.0054763152511,-0.0690394608511884,31.836649326909743,358.0182631497797
2,-1,4,664.9110906712594,850.9945236847489,-0.0690394608511884,31.836649326909743,358.0182631497797
3,0,-1,736.4918259960003,435.45988016543197,0.10758161771134311,21.594818848374157,155.00945051470913
3,0,1,736.4918259960003,587.540119834568,0.10758161771134311,21.594818848374157,155.00945051470913
-4,-2,-2,148.8502580478725,341.8487317587825,0.1260886123901681,33.71454218715385,128.00777739609202
-4,-2,2,148.8502580478725,681.1512682412176,0.1260886123901681,33.71454218715385,128.00777739609202
4,-1,-3,848.0449910544949,244.4074992811038,-0.1035911522357651,35.60595300953446,121.12544147078432
4,-1,3,848.0449910544949,778.5925007188962,-0.1035911522357651,35.60595300953446,121.12544147078432
-3,-1,0,274.07829245503984,511.5,0.11181151685540414,21.588846529354164,115.99196924207946
-4,-2,0,148.85025804787244,511.50000000000006,-0.12924504661020642,31.14944682655222,111.5629159105736
1,0,0,583.4858113664422,511.5,-0.11356137555464585,6.841437727999732,64.15363614310549
-3,-3,-5,161.5507144897391,4.9144125817842905,0.10658822132477042,45.74016104963254,22.032968718724902
-3,-3,5,161.5507144897391,1018.0855874182157,0.10658822132477219,45.740161049632555,22.032968718722298
2,0,-2,658.4213862986238,362.53565734952315,0.15589337424019867,19.224326877984282,16.378155272973185
2,0,2,658.4213862986238,660.4643426504769,0.15589337424019867,19.224326877984282,16.378155272973185
-2,-1,-2,345.56852703545337,356.2511106555001,-0.12890507521311179,20.74287924932587,13.101482747238528
-2,-1,2,345.56852703545337,666.7488893445,-0.12890507521311179,20.74287924932587,13.101482747238528
5,-2,-4,1005.5670342869299,82.00093423348261,-0.12359747689979272,47.49427942136875,7.543358498644887
5,-2,4,1005.5670342869299,940.9990657665173,-0.12359747689979272,47.49427942136875,7.543358498644887
1,0,-2,583.4858113664422,365.5264376682684,0.14133306708155224,15.177038589910662,5.457978036149934
1,0,2,583.4858113664422,657.4735623317316,0.14133306708155224,15.177038589910662,5.457978036149934
-4,-3,-4,73.82131305403499,117.22020499331398,0.15490523394240086,44.47399770536312,0.5419315996862076
-4,-3,4,73.8213130540351,905.7797950066862,0.15490523394240263,44.473997705363125,0.5419315996861142
